method,alpha,mean_mse,std_mse
Lasso,0.1,0.012357793254698875,0.0017266155523220355
Lasso,0.28,0.01631761345086616,0.002940150175900097
Lasso,0.45999999999999996,0.02024716000136789,0.005508001690364763
Lasso,0.64,0.022080318930177555,0.006055703672356817
Lasso,0.82,0.02432115889807556,0.004559823212766145
Lasso,1.0,0.03074403288713288,0.011090105240589955
Glasso,0.1,0.01873472319527646,0.004830397932824579
Glasso,0.28,0.024787557742959793,0.008170272260280909
Glasso,0.45999999999999996,0.03870399548493842,0.01731815914183517
Glasso,0.64,0.031822877472020145,0.007721451189677116
Glasso,0.82,0.046655028047450905,0.037297072355338405
Glasso,1.0,0.046339560195009274,0.04107400506467161
OGlasso,0.1,0.018048392124917965,0.002951319997912692
OGlasso,0.28,0.021140880531974233,0.0038334236186920215
OGlasso,0.45999999999999996,0.024481041971751025,0.005496119263215743
OGlasso,0.64,0.023440329023937233,0.0064352045402561115
OGlasso,0.82,0.02333943818472536,0.003723379953035775
OGlasso,1.0,0.023439415331949487,0.0067329724053870384
SOGlasso,0.1,0.012849630656516762,0.0018442671414240852
SOGlasso,0.28,0.016304240589415313,0.002831778824174791
SOGlasso,0.45999999999999996,0.020135735319419614,0.005096971727926725
SOGlasso,0.64,0.02062178682088928,0.005201313850216404
SOGlasso,0.82,0.021791039922721286,0.0037462826191576176
SOGlasso,1.0,0.024088937546261516,0.007927019902962799
